R0000100,T0897400,T0897500,T2053900,T2054000,T3024800,T3024900,T3955100,T3955200,T4892800,T4892900
3160,5,10,5,10,5,10,5,10,5,10
3161,6,0,6,0,6,0,6,0,6,0
3162,5,2,5,2,5,2,5,2,5,2
3163,5,4,5,4,5,4,5,4,5,5
3164,5,4,5,4,5,4,5,4,5,4
3165,5,2,5,2,5,2,5,2,5,2
3166,6,2,6,2,6,1,6,2,6,2
3167,-5,-5,-5,-5,5,8,5,8,5,8
3168,5,11,5,11,5,11,5,11,5,11
3169,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3170,6,0,6,0,5,11,5,11,5,11
3171,5,9,5,9,5,9,5,9,5,9
3172,5,8,5,8,5,8,5,8,5,8
3173,5,10,5,10,5,9,5,10,5,9
3174,-5,-5,5,6,5,6,5,6,5,6
3175,5,8,5,8,5,8,5,8,5,8
3176,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3177,5,9,5,9,5,9,5,9,5,9
3178,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3179,5,4,5,4,5,4,5,4,5,4
3180,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3181,6,2,6,2,6,2,6,2,6,2
3182,5,9,5,9,5,9,5,9,5,9
3183,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3184,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3185,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3186,5,10,5,10,5,10,5,10,5,10
3187,5,11,5,11,5,11,5,11,5,11
3188,-5,-5,-5,-5,6,7,-5,-5,5,8
3189,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3190,-5,-5,5,6,5,7,5,8,5,6
3191,-5,-5,-5,-5,-5,-5,5,2,5,2
3192,6,4,6,4,6,4,6,4,6,4
3193,6,0,6,0,6,0,6,0,6,0
3194,6,1,6,1,6,2,6,1,6,1
3195,5,5,5,5,5,5,5,5,5,5
3196,5,6,5,6,5,6,5,6,5,6
3197,5,1,5,1,5,1,5,1,5,1
